,subway,totalPrice,unitPrice,houseName,room_counts,area,direction,else1,else2,elevator,position,address
1703,无,100万,单价11524元/平米,中冶田园世界  , 3室1厅 , 86.78平米 , 西南 , 其他 , 有电梯,,高楼层(共30层)2013年建板塔结合  ,  郫县城区
1704,距离2号线牛王庙站1001米,106万,单价17059元/平米,东城攻略  , 1室1厅 , 62.14平米 , 东南 , 其他 , 有电梯,,中楼层(共33层)2008年建板塔结合  ,  九眼桥
1705,距离2号线羊犀立交站776米,132万,单价14909元/平米,黄忠芙蓉苑  , 2室2厅 , 88.54平米 , 东 , 其他,,,低楼层(共6层)2003年建板楼  ,  蜀汉路
1706,距离2号线蜀汉路东站326米,83万,单价15091元/平米,抚琴西路256号  , 2室1厅 , 55平米 , 南 , 简装,,,中楼层(共7层)1997年建板楼  ,  石人小区
1708,无,200万,单价16241元/平米,新禧苑  , 3室2厅 , 123.15平米 , 西南 , 其他 , 无电梯,,中楼层(共6层)2000年建板楼  ,  SM广场
1709,无,135万,单价14654元/平米,兴元绿洲一期  , 2室2厅 , 92.13平米 , 南 , 其他 , 有电梯,,高楼层(共22层)2007年建塔楼  ,  金府
1710,无,100万,单价11524元/平米,中冶田园世界  , 3室1厅 , 86.78平米 , 西南 , 其他 , 有电梯,,高楼层(共30层)2013年建板塔结合  ,  郫县城区
1711,距离1号线广都站280米,225万,单价17717元/平米,城南名著  , 3室2厅 , 127平米 , 北 , 其他 , 有电梯,,低楼层(共18层)2007年建板楼  ,  广都
1712,无,400万,单价16331元/平米,成都后花园二期  , 5室2厅 , 244.94平米 , 东南 西北 , 毛坯 , 有电梯,,中楼层(共12层)2011年建板楼  ,  成外
1713,无,157万,单价15906元/平米,金仙桥路17号  , 2室2厅 , 98.71平米 , 东 南 , 其他 , 无电梯,,低楼层(共7层)暂无数据  ,  花牌坊
1714,距离7号线东坡路站738米,140万,单价17225元/平米,学府春  , 2室2厅 , 81.28平米 , 北 , 简装 , 有电梯,,高楼层(共10层)2005年建板楼  ,  西南财大
1715,无,410万,单价20708元/平米,世纪欣园  , 4室2厅 , 198平米 , 南 , 其他 , 有电梯,,中楼层(共11层)2005年建板楼  ,  新会展
1716,无,130万,单价13819元/平米,师大现代花园  , 2室2厅 , 94.08平米 , 西北 , 其他 , 有电梯,,低楼层(共32层)2013年建板楼  ,  大面
1717,距离7号线神仙树站441米,236万,单价16434元/平米,南方半岛花园  , 4室2厅 , 143.61平米 , 北 , 其他 , 无电梯,,高楼层(共6层)2000年建板塔结合  ,  新北
1718,距离4号线凤凰大街站575米,119万,单价13388元/平米,建信奥林匹克花园  , 2室2厅 , 88.89平米 , 西 , 精装,,,中楼层(共10层)2006年建板塔结合  ,  光华大道沿线
1719,无,78万,单价7355元/平米,胜地金芙蓉  , 3室2厅 , 106.06平米 , 西北 , 其他,,,低楼层(共6层)板楼  ,  芙蓉古城
1720,距离3号线衣冠庙站522米,128万,单价14907元/平米,小天公寓  , 2室1厅 , 85.87平米 , 南 , 其他 , 无电梯,,高楼层(共7层)1996年建板楼  ,  华西
1721,距离4号线中坝站665米,345万,单价26907元/平米,光华逸家  , 4室2厅 , 128.22平米 , 南 北 , 毛坯 , 有电梯,,高楼层(共22层)2012年建板楼  ,  外光华
1722,无,168万,单价19816元/平米,枫瑞苑  , 2室2厅 , 84.78平米 , 北 , 其他 , 有电梯,,中楼层(共11层)2009年建塔楼  ,  东郊记忆
1723,无,165万,单价17785元/平米,洛森堡  , 3室2厅 , 92.78平米 , 东南 , 其他 , 有电梯,,中楼层(共34层)2009年建板楼  ,  海洋公园
1724,无,110万,单价15257元/平米,兴元嘉园  , 2室2厅 , 72.1平米 , 南 , 其他 , 无电梯,,高楼层(共6层)2005年建板楼  ,  武侯立交
1725,无,320万,单价27367元/平米,华侨城纯水岸二期  , 3室2厅 , 116.93平米 , 南 , 其他,,,高楼层(共33层)2010年建板楼  ,  华侨城
1726,距离3号线红牌楼站988米,225万,单价28410元/平米,新筑公寓  , 2室1厅 , 79.2平米 , 南 , 其他 , 有电梯,,低楼层(共11层)2004年建板塔结合  ,  广福桥
1727,无,132万,单价16874元/平米,蓝光圣菲town城  , 2室2厅 , 78.23平米 , 南 , 精装 , 有电梯,,高楼层(共23层)2009年建塔楼  ,  航空港
1728,距离2号线书房站696米,195万,单价15574元/平米,果壳里的城  , 4室1厅 , 125.21平米 , 东 西 , 精装 , 有电梯,,中楼层(共34层)2012年建塔楼  ,  龙泉驿城区
1729,无,197万,单价17771元/平米,橙郡一期  , 3室2厅 , 110.86平米 , 南 , 精装 , 有电梯,,高楼层(共17层)2007年建板塔结合  ,  中海国际
1730,距离1号线华西坝站951米,269万,单价17683元/平米,浆洗街教师公寓  , 3室2厅 , 152.13平米 , 东北 , 精装 , 有电梯,,低楼层(共22层)2004年建板塔结合  ,  华西
1731,距离1号线华府大道站868米,238万,单价24124元/平米,远大都市风景二期  , 2室2厅 , 98.66平米 , 东 , 其他 , 有电梯,,高楼层(共11层)2005年建板楼  ,  远大
1732,无,140万,单价14669元/平米,万科五龙山九墅  , 2室1厅 , 95.44平米 , 西南 , 其他,,,低楼层(共21层)2013年建板塔结合  ,  毗河
1733,距离4号线万年场站站186米,235万,单价31439元/平米,华润二十四城二期  , 3室1厅 , 74.75平米 , 东北 , 简装 , 有电梯,,高楼层(共32层)2010年建塔楼  ,  万象城
1734,无,165万,单价12055元/平米,东山国际新城H区一期  , 5室2厅 , 136.88平米 , 南 , 毛坯,,,低楼层(共18层)2015年建板塔结合  ,  东山
1735,无,132万,单价19449元/平米,锦绣东方一期  , 2室2厅 , 67.87平米 , 东 , 其他,,,高楼层(共33层)2008年建塔楼  ,  万象城
1736,无,165万,单价20189元/平米,水岸华庭  , 2室2厅 , 81.73平米 , 西南 , 简装,,,高楼层(共28层)2009年建塔楼  ,  万象城
1737,距离1号线倪家桥站681米,255万,单价28853元/平米,华宇蓉国府  , 2室1厅 , 88.38平米 , 西 , 简装 , 有电梯,,中楼层(共30层)2012年建板楼  ,  玉林
1739,距离3号线太平园站18米,138万,单价22974元/平米,下一站都市  , 1室1厅 , 60.07平米 , 西南 , 其他,,,高楼层(共14层)2014年建板楼  ,  丽都
1740,无,100万,单价19555元/平米,锦江城市花园二期  , 2室1厅 , 51.14平米 , 西南 , 其他,,,中楼层(共34层)2011年建塔楼  ,  三圣乡
1741,无,69万,单价17807元/平米,青房尚瑞天韵  , 1室1厅 , 38.75平米 , 东南 , 其他,,,低楼层(共25层)2009年建塔楼  ,  高家庄
1742,距离7号线琉璃场站848米,178万,单价20890元/平米,翡翠城四期  , 1室2厅 , 85.21平米 , 西北 , 精装 , 有电梯,,高楼层(共29层)2009年建板楼  ,  东湖
1743,距离3号线昭觉寺南路站585米,120万,单价21262元/平米,香澜半岛  , 2室1厅 , 56.44平米 , 东南 , 其他 , 有电梯,,高楼层(共21层)2016年建板塔结合  ,  驷马桥
1744,距离4号线南熏大道站693米,110万,单价15491元/平米,格凌兰  , 2室1厅 , 71.01平米 , 东北 , 其他,,,低楼层(共26层)2016年建塔楼  ,  温江新城
1745,无,108万,单价18352元/平米,蜀都花园  , 1室1厅 , 58.85平米 , 南 , 其他,,,低楼层(共18层)2003年建板楼  ,  水碾河
